,case:id,case:concept:name,concept:name,Variant,time:timestamp,Question,Report,Year,Category,Type,Tupla,Organization
49,A12 P4 BPI 2020,A12 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 10:37:02.248560,P4,A12,2020,Professional,Analyze Cycle Time,A122020,Sberbank
50,A13 P4 BPI 2020,A13 P4 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-21 11:37:02.248560,P4,A13,2020,Professional,Representation,A132020,Sberbank
51,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 12:37:02.248560,P4,A13,2020,Professional,Analyze Cycle Time,A132020,Sberbank
52,A13 P4 BPI 2020,A13 P4 BPI 2020,Group activities,Group activities by sub-processes,2021-11-21 13:37:02.248560,P4,A13,2020,Professional,Manipulation,A132020,Sberbank
53,A13 P4 BPI 2020,A13 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-11-21 14:37:02.248560,P4,A13,2020,Professional,Analyze Cycle Time,A132020,Sberbank
54,A18 P4 BPI 2020,A18 P4 BPI 2020,Represent process map,Represent process map with frequency,2021-11-21 15:37:02.248560,P4,A18,2020,Academic,Representation,A182020,PolitecnicodiMilano
55,A18 P4 BPI 2020,A18 P4 BPI 2020,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for a subset of traces,2021-11-21 16:37:02.248560,P4,A18,2020,Academic,Analyze Cycle Time,A182020,PolitecnicodiMilano
56,A25 P4 BPI 2020,A25 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-21 17:37:02.248560,P4,A25,2020,Student,Analyze Cycle Time,A252020,
57,A25 P4 BPI 2020,A25 P4 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-11-21 18:37:02.248560,P4,A25,2020,Student,Representation,A252020,
58,A25 P4 BPI 2020,A25 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-21 19:37:02.248560,P4,A25,2020,Student,Analyze Cycle Time,A252020,
59,A26 P4 BPI 2020,A26 P4 BPI 2020,Filter variants depending on frequency,Filter variants depending on frequency,2021-11-21 20:37:02.248560,P4,A26,2020,Professional,Manipulation,A262020,Sberbank
60,A26 P4 BPI 2020,A26 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-21 21:37:02.248560,P4,A26,2020,Professional,Representation,A262020,Sberbank
61,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-21 22:37:02.248560,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
62,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-21 23:37:02.248560,P4,A28,2020,Professional,Analyze Cycle Time,A282020,Sberbank
63,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-22 00:37:02.248560,P4,A28,2020,Professional,Representation,A282020,Sberbank
64,A28 P4 BPI 2020,A28 P4 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-22 01:37:02.248560,P4,A28,2020,Professional,Analyze Cycle Time,A282020,Sberbank
65,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-22 02:37:02.248560,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
66,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-22 03:37:02.248560,P4,A28,2020,Professional,Representation,A282020,Sberbank
67,A28 P4 BPI 2020,A28 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-22 04:37:02.248560,P4,A28,2020,Professional,Analyze Cycle Time,A282020,Sberbank
68,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-22 05:37:02.248560,P4,A28,2020,Professional,Representation,A282020,Sberbank
69,A28 P4 BPI 2020,A28 P4 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-22 06:37:02.248560,P4,A28,2020,Professional,Manipulation,A282020,Sberbank
70,A28 P4 BPI 2020,A28 P4 BPI 2020,Represent heatmaps,Represent heatmaps,2021-11-22 07:37:02.248560,P4,A28,2020,Professional,Representation,A282020,Sberbank
71,A35 P4 BPI 2020,A35 P4 BPI 2020,Filter traces,Filter traces by activities,2021-11-22 08:37:02.248560,P4,A35,2020,Professional,Manipulation,A352020,
72,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-22 09:37:02.248560,P4,A35,2020,Professional,Analyze Cycle Time,A352020,
73,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-11-22 10:37:02.248560,P4,A35,2020,Professional,Analyze Cycle Time,A352020,
74,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of traces,2021-11-22 11:37:02.248560,P4,A35,2020,Professional,Calculate statistics,A352020,
75,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-22 12:37:02.248560,P4,A35,2020,Professional,Calculate statistics,A352020,
76,A35 P4 BPI 2020,A35 P4 BPI 2020,Calculate average of activities per trace,Calculate average of activities per trace,2021-11-22 13:37:02.248560,P4,A35,2020,Professional,Calculate statistics,A352020,
77,A35 P4 BPI 2020,A35 P4 BPI 2020,Group traces,Group traces by roles,2021-11-22 14:37:02.248560,P4,A35,2020,Professional,Manipulation,A352020,
78,A35 P4 BPI 2020,A35 P4 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-22 15:37:02.248560,P4,A35,2020,Professional,Representation,A352020,
79,A37 P4 BPI 2020,A37 P4 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 16:37:02.248560,P4,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
80,A1 P5 BPI 2020,A1 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-22 17:37:02.248560,P5,A1,2020,Academic,Analyze Cycle Time,A12020,TechnischeUniversitätBerlin
81,A1 P5 BPI 2020,A1 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-22 18:37:02.248560,P5,A1,2020,Academic,Analyze Cycle Time,A12020,TechnischeUniversitätBerlin
82,A2 P5 BPI 2020,A2 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 19:37:02.248560,P5,A2,2020,Student,Analyze Cycle Time,A22020,FacultyofScienceUtrechtUniversity
83,A2 P5 BPI 2020,A2 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-22 20:37:02.248560,P5,A2,2020,Student,Analyze Cycle Time,A22020,FacultyofScienceUtrechtUniversity
84,A2 P5 BPI 2020,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-22 21:37:02.248560,P5,A2,2020,Student,Representation,A22020,FacultyofScienceUtrechtUniversity
85,A7 P5 BPI 2020,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 22:37:02.248560,P5,A7,2020,Academic,Analyze Cycle Time,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
86,A7 P5 BPI 2020,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2021-11-22 23:37:02.248560,P5,A7,2020,Academic,Manipulation,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
87,A7 P5 BPI 2020,A7 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 00:37:02.248560,P5,A7,2020,Academic,Analyze Cycle Time,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
88,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 01:37:02.248560,P5,A10,2020,Academic,Analyze Cycle Time,A102020,InternalAuditDepartmentRostovonDon
89,A10 P5 BPI 2020,A10 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 02:37:02.248560,P5,A10,2020,Academic,Analyze Cycle Time,A102020,InternalAuditDepartmentRostovonDon
90,A10 P5 BPI 2020,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-23 03:37:02.248560,P5,A10,2020,Academic,Calculate statistics,A102020,InternalAuditDepartmentRostovonDon
91,A12 P5 BPI 2020,A12 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 04:37:02.248560,P5,A12,2020,Professional,Analyze Cycle Time,A122020,Sberbank
92,A12 P5 BPI 2020,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-11-23 05:37:02.248560,P5,A12,2020,Professional,Representation,A122020,Sberbank
93,A12 P5 BPI 2020,A12 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 06:37:02.248560,P5,A12,2020,Professional,Analyze Cycle Time,A122020,Sberbank
94,A13 P5 BPI 2020,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-23 07:37:02.248560,P5,A13,2020,Professional,Representation,A132020,Sberbank
95,A13 P5 BPI 2020,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-23 08:37:02.248560,P5,A13,2020,Professional,Analyze Cycle Time,A132020,Sberbank
96,A13 P5 BPI 2020,A13 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 09:37:02.248560,P5,A13,2020,Professional,Analyze Cycle Time,A132020,Sberbank
97,A18 P5 BPI 2020,A18 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 10:37:02.248560,P5,A18,2020,Academic,Analyze Cycle Time,A182020,PolitecnicodiMilano
