,case:concept:name,General activity,Specific activity,Time,Question,Year
84,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:37.670712,P5,2020
85,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:37.677327,P5,2020
86,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2021-07-07 17:27:37.691794,P5,2020
87,A7 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.704607,P5,2020
88,A10 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:37.713635,P5,2020
89,A10 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.727650,P5,2020
90,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:37.739634,P5,2020
91,A12 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:37.750889,P5,2020
92,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-07-07 17:27:37.768598,P5,2020
93,A12 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.780690,P5,2020
94,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:37.796806,P5,2020
95,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:37.802678,P5,2020
96,A13 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.819953,P5,2020
97,A18 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:37.831702,P5,2020
98,A18 P5 BPI 2020,Identify bottlenecks,Identify sub-processes as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.848750,P5,2020
99,A25 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:37.857652,P5,2020
100,A25 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-07-07 17:27:37.879781,P5,2020
101,A25 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.897853,P5,2020
102,A26 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:37.923991,P5,2020
103,A26 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:37.935958,P5,2020
104,A28 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-07-07 17:27:37.954712,P5,2020
105,A28 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:37.974948,P5,2020
106,A28 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:37.985148,P5,2020
107,A35 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:38.010178,P5,2020
108,A35 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.033805,P5,2020
109,A37 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:38.043886,P5,2020
110,A37 P5 BPI 2020,Compare cycle time, ,2021-07-07 17:27:38.065964,P5,2020
111,A37 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-07-07 17:27:38.086025,P5,2020
112,A37 P5 BPI 2020,Calculate frequency,Calculate frequency of attributes,2021-07-07 17:27:38.105983,P5,2020
113,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-07-07 17:27:38.126035,P5,2020
114,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:38.145017,P5,2020
115,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2021-07-07 17:27:38.171346,P6,2020
