,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
84,A2 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.358106,A2,P5,2020,Student,Representation
85,A7 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.374063,A7,P5,2020,Academic,Analyze Cycle Time
86,A7 P5 BPI 2020,Filter activities,Filter activities by cycle time,2021-10-19 12:47:14.386032,A7,P5,2020,Academic,Manipulation
87,A7 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.396003,A7,P5,2020,Academic,Analyze Cycle Time
88,A10 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.409967,A10,P5,2020,Academic,Analyze Cycle Time
89,A10 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.415485,A10,P5,2020,Academic,Analyze Cycle Time
90,A10 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.415485,A10,P5,2020,Academic,Calculate statistics
91,A12 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.444666,A12,P5,2020,Professional,Analyze Cycle Time
92,A12 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.457631,A12,P5,2020,Professional,Representation
93,A12 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.466608,A12,P5,2020,Professional,Analyze Cycle Time
94,A13 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.482062,A13,P5,2020,Professional,Representation
95,A13 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.482062,A13,P5,2020,Professional,Analyze Cycle Time
96,A13 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.497686,A13,P5,2020,Professional,Analyze Cycle Time
97,A18 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.513307,A18,P5,2020,Academic,Analyze Cycle Time
98,A18 P5 BPI 2020,Identify bottlenecks,Identify sub-processes as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.513307,A18,P5,2020,Academic,Analyze Cycle Time
99,A25 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.528929,A25,P5,2020,Student,Analyze Cycle Time
100,A25 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-10-19 12:47:14.536939,A25,P5,2020,Student,Representation
