,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category
117,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.664274,A2,P6,2020,Student
118,A2 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.679850,A2,P6,2020,Student
119,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.679850,A2,P6,2020,Student
120,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.695509,A7,P6,2020,Academic
121,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2021-10-19 12:47:14.695509,A7,P6,2020,Academic
122,A7 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.711127,A7,P6,2020,Academic
123,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.711127,A10,P6,2020,Academic
124,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.711127,A10,P6,2020,Academic
125,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.726714,A10,P6,2020,Academic
126,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.737759,A10,P6,2020,Academic
127,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.737759,A10,P6,2020,Academic
128,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.737759,A10,P6,2020,Academic
129,A12 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.760167,A12,P6,2020,Professional
130,A12 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.769177,A12,P6,2020,Professional
131,A13 P6 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.780146,A13,P6,2020,Professional
132,A13 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.789122,A13,P6,2020,Professional
133,A13 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-10-19 12:47:14.792081,A13,P6,2020,Professional
134,A13 P6 BPI 2020,Calculate frequency,Calculate frequency of variants,2021-10-19 12:47:14.798097,A13,P6,2020,Professional
135,A13 P6 BPI 2020,Calculate intervals of time of the traces, ,2021-10-19 12:47:14.804080,A13,P6,2020,Professional
136,A13 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.810062,A13,P6,2020,Professional
137,A25 P6 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.815204,A25,P6,2020,Student
138,A25 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.815204,A25,P6,2020,Student
